05-31-2024 15:14:33 RAM 5500/7451MB (lfb 4x4MB) SWAP 68/3725MB (cached 0MB) CPU [23%@865,18%@729,10%@729,16%@729,off,off] EMC_FREQ 13%@2133 GR3D_FREQ 99%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.968C SOC2@51.437C SOC0@51.437C CV1@-256C GPU@52.093C tj@52.968C SOC1@52.125C CV2@-256C VDD_IN 6169mW/4518mW VDD_CPU_GPU_CV 1520mW/828mW VDD_SOC 1762mW/1300mW
05-31-2024 15:14:34 RAM 5500/7451MB (lfb 4x4MB) SWAP 68/3725MB (cached 0MB) CPU [25%@920,18%@729,17%@729,19%@729,off,off] EMC_FREQ 14%@2133 GR3D_FREQ 99%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.937C SOC2@51.531C SOC0@51.531C CV1@-256C GPU@52.25C tj@52.937C SOC1@52.093C CV2@-256C VDD_IN 6129mW/4565mW VDD_CPU_GPU_CV 1480mW/847mW VDD_SOC 1722mW/1313mW
05-31-2024 15:14:35 RAM 5500/7451MB (lfb 4x4MB) SWAP 68/3725MB (cached 0MB) CPU [24%@947,20%@729,18%@729,14%@729,off,off] EMC_FREQ 15%@2133 GR3D_FREQ 98%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.906C SOC2@51.531C SOC0@51.406C CV1@-256C GPU@52.281C tj@52.906C SOC1@52.093C CV2@-256C VDD_IN 6169mW/4611mW VDD_CPU_GPU_CV 1520mW/866mW VDD_SOC 1722mW/1324mW
05-31-2024 15:14:36 RAM 5500/7451MB (lfb 4x4MB) SWAP 68/3725MB (cached 0MB) CPU [25%@960,14%@729,20%@729,17%@729,off,off] EMC_FREQ 15%@2133 GR3D_FREQ 99%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.125C SOC2@51.593C SOC0@51.375C CV1@-256C GPU@52.312C tj@53.125C SOC1@52.125C CV2@-256C VDD_IN 6089mW/4652mW VDD_CPU_GPU_CV 1440mW/882mW VDD_SOC 1722mW/1335mW
05-31-2024 15:14:37 RAM 5500/7451MB (lfb 4x4MB) SWAP 68/3725MB (cached 0MB) CPU [33%@729,20%@729,15%@729,14%@729,off,off] EMC_FREQ 15%@2133 GR3D_FREQ 98%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.093C SOC2@51.531C SOC0@51.625C CV1@-256C GPU@52.062C tj@53.093C SOC1@52.187C CV2@-256C VDD_IN 6209mW/4694mW VDD_CPU_GPU_CV 1520mW/899mW VDD_SOC 1762mW/1347mW
05-31-2024 15:14:38 RAM 5500/7451MB (lfb 4x4MB) SWAP 68/3725MB (cached 0MB) CPU [32%@930,18%@729,19%@729,9%@729,off,off] EMC_FREQ 15%@2133 GR3D_FREQ 99%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.062C SOC2@51.5C SOC0@51.531C CV1@-256C GPU@52.125C tj@53.062C SOC1@52.218C CV2@-256C VDD_IN 6129mW/4732mW VDD_CPU_GPU_CV 1480mW/915mW VDD_SOC 1722mW/1357mW
05-31-2024 15:14:39 RAM 5500/7451MB (lfb 4x4MB) SWAP 68/3725MB (cached 0MB) CPU [23%@729,14%@729,18%@729,17%@729,off,off] EMC_FREQ 15%@2133 GR3D_FREQ 99%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53C SOC2@51.656C SOC0@51.5C CV1@-256C GPU@52.25C tj@53C SOC1@52.125C CV2@-256C VDD_IN 6209mW/4770mW VDD_CPU_GPU_CV 1520mW/930mW VDD_SOC 1762mW/1367mW
05-31-2024 15:14:40 RAM 5500/7451MB (lfb 4x4MB) SWAP 68/3725MB (cached 0MB) CPU [27%@960,19%@865,12%@729,11%@729,off,off] EMC_FREQ 15%@2133 GR3D_FREQ 98%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.187C SOC2@51.531C SOC0@51.437C CV1@-256C GPU@52.187C tj@53.187C SOC1@52.125C CV2@-256C VDD_IN 6089mW/4803mW VDD_CPU_GPU_CV 1480mW/944mW VDD_SOC 1722mW/1376mW
05-31-2024 15:14:41 RAM 5500/7451MB (lfb 4x4MB) SWAP 68/3725MB (cached 0MB) CPU [24%@729,21%@729,16%@729,13%@729,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 99%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.125C SOC2@51.625C SOC0@51.468C CV1@-256C GPU@52.093C tj@53.125C SOC1@52.031C CV2@-256C VDD_IN 6169mW/4836mW VDD_CPU_GPU_CV 1520mW/958mW VDD_SOC 1722mW/1384mW
05-31-2024 15:14:42 RAM 5500/7451MB (lfb 4x4MB) SWAP 68/3725MB (cached 0MB) CPU [27%@960,15%@729,26%@729,18%@729,off,off] EMC_FREQ 15%@2133 GR3D_FREQ 99%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53C SOC2@51.718C SOC0@51.437C CV1@-256C GPU@52.031C tj@53C SOC1@52.125C CV2@-256C VDD_IN 6089mW/4866mW VDD_CPU_GPU_CV 1480mW/970mW VDD_SOC 1722mW/1392mW
