05-31-2024 15:35:03 RAM 5557/7451MB (lfb 3x2MB) SWAP 125/3725MB (cached 0MB) CPU [22%@960,12%@729,12%@729,13%@729,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 99%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53C SOC2@51.656C SOC0@51.437C CV1@-256C GPU@52.093C tj@53C SOC1@52.062C CV2@-256C VDD_IN 6370mW/5204mW VDD_CPU_GPU_CV 1680mW/1208mW VDD_SOC 1762mW/1444mW
05-31-2024 15:35:04 RAM 5557/7451MB (lfb 3x2MB) SWAP 125/3725MB (cached 0MB) CPU [21%@960,18%@960,16%@960,11%@960,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 54%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.218C SOC2@51.625C SOC0@51.468C CV1@-256C GPU@52.281C tj@53.218C SOC1@52.093C CV2@-256C VDD_IN 6330mW/5237mW VDD_CPU_GPU_CV 1680mW/1222mW VDD_SOC 1762mW/1453mW
05-31-2024 15:35:05 RAM 5557/7451MB (lfb 3x2MB) SWAP 125/3725MB (cached 0MB) CPU [20%@960,12%@729,10%@729,16%@729,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 37%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.062C SOC2@51.625C SOC0@51.437C CV1@-256C GPU@52.25C tj@53.062C SOC1@52.125C CV2@-256C VDD_IN 6370mW/5270mW VDD_CPU_GPU_CV 1680mW/1235mW VDD_SOC 1762mW/1462mW
05-31-2024 15:35:06 RAM 5557/7451MB (lfb 3x2MB) SWAP 125/3725MB (cached 0MB) CPU [24%@729,8%@729,13%@960,11%@960,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 99%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53C SOC2@51.625C SOC0@51.375C CV1@-256C GPU@52.062C tj@53C SOC1@52.281C CV2@-256C VDD_IN 6410mW/5301mW VDD_CPU_GPU_CV 1720mW/1249mW VDD_SOC 1762mW/1471mW
05-31-2024 15:35:07 RAM 5557/7451MB (lfb 3x2MB) SWAP 125/3725MB (cached 0MB) CPU [22%@859,14%@729,11%@729,25%@729,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 99%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.937C SOC2@51.593C SOC0@51.562C CV1@-256C GPU@52.156C tj@53.093C SOC1@52.25C CV2@-256C VDD_IN 6490mW/5333mW VDD_CPU_GPU_CV 1760mW/1262mW VDD_SOC 1762mW/1478mW
05-31-2024 15:35:08 RAM 5557/7451MB (lfb 3x2MB) SWAP 125/3725MB (cached 0MB) CPU [29%@959,15%@729,14%@729,12%@729,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 99%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.062C SOC2@51.656C SOC0@51.531C CV1@-256C GPU@52.312C tj@53.062C SOC1@52.125C CV2@-256C VDD_IN 6330mW/5360mW VDD_CPU_GPU_CV 1680mW/1273mW VDD_SOC 1762mW/1486mW
05-31-2024 15:35:09 RAM 5558/7451MB (lfb 3x2MB) SWAP 125/3725MB (cached 0MB) CPU [23%@729,14%@729,13%@729,13%@729,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 98%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.062C SOC2@51.687C SOC0@51.562C CV1@-256C GPU@52.312C tj@53.062C SOC1@52.156C CV2@-256C VDD_IN 6370mW/5386mW VDD_CPU_GPU_CV 1680mW/1284mW VDD_SOC 1762mW/1493mW
05-31-2024 15:35:10 RAM 5558/7451MB (lfb 3x2MB) SWAP 125/3725MB (cached 0MB) CPU [20%@960,14%@959,19%@729,12%@729,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 95%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.312C SOC2@51.718C SOC0@51.562C CV1@-256C GPU@52.187C tj@53.312C SOC1@52.031C CV2@-256C VDD_IN 6410mW/5411mW VDD_CPU_GPU_CV 1720mW/1295mW VDD_SOC 1762mW/1500mW
05-31-2024 15:35:11 RAM 5558/7451MB (lfb 3x2MB) SWAP 125/3725MB (cached 0MB) CPU [23%@729,11%@729,14%@729,14%@729,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 36%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.125C SOC2@51.656C SOC0@51.562C CV1@-256C GPU@52.218C tj@53.125C SOC1@52.125C CV2@-256C VDD_IN 6370mW/5434mW VDD_CPU_GPU_CV 1680mW/1304mW VDD_SOC 1762mW/1506mW
05-31-2024 15:35:12 RAM 5558/7451MB (lfb 3x2MB) SWAP 125/3725MB (cached 0MB) CPU [19%@729,15%@729,11%@729,15%@729,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 65%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.312C SOC2@51.687C SOC0@51.5C CV1@-256C GPU@52.281C tj@53.312C SOC1@52.062C CV2@-256C VDD_IN 6370mW/5457mW VDD_CPU_GPU_CV 1680mW/1313mW VDD_SOC 1762mW/1512mW
