01-01-1970 02:27:11 RAM 5082/7451MB (lfb 16x4MB) SWAP 1/3725MB (cached 0MB) CPU [39%@806,23%@883,25%@883,28%@883,off,off] EMC_FREQ 13%@2133 GR3D_FREQ 70%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.031C SOC2@50.281C SOC0@50.156C CV1@-256C GPU@50.75C tj@52.031C SOC1@50.937C CV2@-256C VDD_IN 5809mW/4941mW VDD_CPU_GPU_CV 1282mW/1073mW VDD_SOC 1682mW/1391mW
01-01-1970 02:27:12 RAM 5082/7451MB (lfb 16x4MB) SWAP 1/3725MB (cached 0MB) CPU [40%@876,25%@729,27%@729,19%@729,off,off] EMC_FREQ 13%@2133 GR3D_FREQ 99%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.25C SOC2@50.25C SOC0@50.093C CV1@-256C GPU@50.625C tj@52.25C SOC1@51C CV2@-256C VDD_IN 5809mW/4966mW VDD_CPU_GPU_CV 1282mW/1079mW VDD_SOC 1682mW/1399mW
01-01-1970 02:27:13 RAM 5082/7451MB (lfb 16x4MB) SWAP 1/3725MB (cached 0MB) CPU [45%@960,23%@806,35%@806,24%@806,off,off] EMC_FREQ 13%@2133 GR3D_FREQ 52%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.031C SOC2@50.406C SOC0@50.218C CV1@-256C GPU@50.875C tj@52.062C SOC1@51.062C CV2@-256C VDD_IN 5809mW/4990mW VDD_CPU_GPU_CV 1322mW/1086mW VDD_SOC 1682mW/1407mW
01-01-1970 02:27:14 RAM 5083/7451MB (lfb 16x4MB) SWAP 1/3725MB (cached 0MB) CPU [43%@960,23%@883,27%@883,29%@883,off,off] EMC_FREQ 13%@2133 GR3D_FREQ 96%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.937C SOC2@50.343C SOC0@50.187C CV1@-256C GPU@50.781C tj@51.937C SOC1@51.093C CV2@-256C VDD_IN 5849mW/5014mW VDD_CPU_GPU_CV 1320mW/1092mW VDD_SOC 1682mW/1415mW
01-01-1970 02:27:15 RAM 5083/7451MB (lfb 16x4MB) SWAP 1/3725MB (cached 0MB) CPU [39%@729,24%@883,30%@883,25%@883,off,off] EMC_FREQ 13%@2133 GR3D_FREQ 81%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.093C SOC2@50.281C SOC0@50.187C CV1@-256C GPU@51.093C tj@52.093C SOC1@51.031C CV2@-256C VDD_IN 5849mW/5037mW VDD_CPU_GPU_CV 1320mW/1099mW VDD_SOC 1682mW/1422mW
01-01-1970 02:27:16 RAM 5083/7451MB (lfb 16x4MB) SWAP 1/3725MB (cached 0MB) CPU [43%@960,23%@960,27%@806,25%@806,off,off] EMC_FREQ 13%@2133 GR3D_FREQ 64%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.312C SOC2@50.312C SOC0@50.218C CV1@-256C GPU@50.781C tj@52.312C SOC1@51.062C CV2@-256C VDD_IN 5809mW/5057mW VDD_CPU_GPU_CV 1282mW/1103mW VDD_SOC 1682mW/1429mW
01-01-1970 02:27:17 RAM 5083/7451MB (lfb 16x4MB) SWAP 1/3725MB (cached 0MB) CPU [38%@960,22%@960,29%@960,20%@960,off,off] EMC_FREQ 13%@2133 GR3D_FREQ 26%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.125C SOC2@50.281C SOC0@50.156C CV1@-256C GPU@50.718C tj@52.125C SOC1@50.968C CV2@-256C VDD_IN 5809mW/5076mW VDD_CPU_GPU_CV 1320mW/1109mW VDD_SOC 1682mW/1435mW
01-01-1970 02:27:18 RAM 5083/7451MB (lfb 16x4MB) SWAP 1/3725MB (cached 0MB) CPU [48%@960,29%@729,24%@729,22%@729,off,off] EMC_FREQ 13%@2133 GR3D_FREQ 98%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.343C SOC2@50.343C SOC0@50.156C CV1@-256C GPU@51C tj@52.343C SOC1@51.031C CV2@-256C VDD_IN 5889mW/5096mW VDD_CPU_GPU_CV 1320mW/1114mW VDD_SOC 1722mW/1443mW
01-01-1970 02:27:19 RAM 5084/7451MB (lfb 16x4MB) SWAP 1/3725MB (cached 0MB) CPU [40%@960,30%@954,29%@806,35%@806,off,off] EMC_FREQ 14%@2133 GR3D_FREQ 96%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.156C SOC2@50.343C SOC0@50.187C CV1@-256C GPU@51.031C tj@52.156C SOC1@51C CV2@-256C VDD_IN 5889mW/5116mW VDD_CPU_GPU_CV 1320mW/1119mW VDD_SOC 1722mW/1449mW
01-01-1970 02:27:20 RAM 5084/7451MB (lfb 16x4MB) SWAP 1/3725MB (cached 0MB) CPU [43%@960,26%@883,25%@883,23%@883,off,off] EMC_FREQ 14%@2133 GR3D_FREQ 82%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.093C SOC2@50.468C SOC0@50.187C CV1@-256C GPU@50.75C tj@52.093C SOC1@51.156C CV2@-256C VDD_IN 5849mW/5133mW VDD_CPU_GPU_CV 1320mW/1124mW VDD_SOC 1682mW/1455mW
01-01-1970 02:27:21 RAM 5084/7451MB (lfb 16x4MB) SWAP 1/3725MB (cached 0MB) CPU [39%@960,29%@806,22%@806,29%@806,off,off] EMC_FREQ 14%@2133 GR3D_FREQ 52%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.062C SOC2@50.343C SOC0@50.281C CV1@-256C GPU@50.781C tj@52.062C SOC1@51.093C CV2@-256C VDD_IN 5849mW/5150mW VDD_CPU_GPU_CV 1320mW/1128mW VDD_SOC 1722mW/1461mW
01-01-1970 02:27:22 RAM 5084/7451MB (lfb 16x4MB) SWAP 1/3725MB (cached 0MB) CPU [42%@883,23%@883,32%@883,27%@883,off,off] EMC_FREQ 13%@2133 GR3D_FREQ 91%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.968C SOC2@50.406C SOC0@50.312C CV1@-256C GPU@51.031C tj@51.968C SOC1@51.062C CV2@-256C VDD_IN 5849mW/5166mW VDD_CPU_GPU_CV 1320mW/1133mW VDD_SOC 1682mW/1466mW
01-01-1970 02:27:23 RAM 5084/7451MB (lfb 16x4MB) SWAP 1/3725MB (cached 0MB) CPU [40%@806,30%@883,22%@883,25%@883,off,off] EMC_FREQ 13%@2133 GR3D_FREQ 53%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.281C SOC2@50.406C SOC0@50.343C CV1@-256C GPU@50.718C tj@52.281C SOC1@51.062C CV2@-256C VDD_IN 5769mW/5179mW VDD_CPU_GPU_CV 1282mW/1136mW VDD_SOC 1682mW/1471mW
01-01-1970 02:27:24 RAM 5084/7451MB (lfb 16x4MB) SWAP 1/3725MB (cached 0MB) CPU [42%@960,25%@960,35%@960,23%@960,off,off] EMC_FREQ 13%@2133 GR3D_FREQ 69%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.187C SOC2@50.375C SOC0@50.25C CV1@-256C GPU@50.75C tj@52.187C SOC1@51.031C CV2@-256C VDD_IN 5849mW/5194mW VDD_CPU_GPU_CV 1320mW/1140mW VDD_SOC 1722mW/1476mW
01-01-1970 02:27:25 RAM 5084/7451MB (lfb 16x4MB) SWAP 1/3725MB (cached 0MB) CPU [44%@806,27%@883,25%@883,18%@883,off,off] EMC_FREQ 13%@2133 GR3D_FREQ 35%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.218C SOC2@50.343C SOC0@50.187C CV1@-256C GPU@50.75C tj@52.218C SOC1@51.187C CV2@-256C VDD_IN 5809mW/5207mW VDD_CPU_GPU_CV 1320mW/1144mW VDD_SOC 1682mW/1481mW
01-01-1970 02:27:26 RAM 5084/7451MB (lfb 16x4MB) SWAP 1/3725MB (cached 0MB) CPU [41%@806,25%@806,24%@806,24%@729,off,off] EMC_FREQ 14%@2133 GR3D_FREQ 72%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.156C SOC2@50.468C SOC0@50.187C CV1@-256C GPU@50.937C tj@52.156C SOC1@51.062C CV2@-256C VDD_IN 5809mW/5219mW VDD_CPU_GPU_CV 1322mW/1148mW VDD_SOC 1682mW/1485mW
