05-31-2024 13:09:15 RAM 4205/7451MB (lfb 62x1MB) SWAP 608/3725MB (cached 4MB) CPU [27%@960,18%@960,18%@960,20%@960,12%@729,15%@729] EMC_FREQ 26%@2133 GR3D_FREQ 98%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57.062C SOC2@56.031C SOC0@55.812C CV1@-256C GPU@57.125C tj@57.125C SOC1@55.937C CV2@-256C VDD_IN 7707mW/7581mW VDD_CPU_GPU_CV 2591mW/2757mW VDD_SOC 1876mW/1764mW
05-31-2024 13:09:16 RAM 4205/7451MB (lfb 62x1MB) SWAP 608/3725MB (cached 4MB) CPU [35%@1510,14%@1510,15%@1510,25%@1510,12%@729,12%@729] EMC_FREQ 26%@2133 GR3D_FREQ 46%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57.093C SOC2@56.062C SOC0@55.625C CV1@-256C GPU@57.25C tj@57.25C SOC1@55.875C CV2@-256C VDD_IN 7787mW/7587mW VDD_CPU_GPU_CV 2671mW/2754mW VDD_SOC 1876mW/1767mW
05-31-2024 13:09:17 RAM 4205/7451MB (lfb 62x1MB) SWAP 608/3725MB (cached 4MB) CPU [36%@1497,20%@1497,27%@1497,26%@1497,9%@729,9%@729] EMC_FREQ 26%@2133 GR3D_FREQ 71%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57.187C SOC2@56.125C SOC0@55.625C CV1@-256C GPU@56.812C tj@57.093C SOC1@55.812C CV2@-256C VDD_IN 7707mW/7590mW VDD_CPU_GPU_CV 2591mW/2749mW VDD_SOC 1876mW/1771mW
05-31-2024 13:09:18 RAM 4205/7451MB (lfb 62x1MB) SWAP 608/3725MB (cached 4MB) CPU [29%@1267,28%@1267,17%@1267,23%@1267,10%@729,21%@729] EMC_FREQ 26%@2133 GR3D_FREQ 91%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57C SOC2@56C SOC0@55.656C CV1@-256C GPU@57.031C tj@57.031C SOC1@55.843C CV2@-256C VDD_IN 7707mW/7594mW VDD_CPU_GPU_CV 2591mW/2745mW VDD_SOC 1876mW/1774mW
05-31-2024 13:09:19 RAM 4205/7451MB (lfb 62x1MB) SWAP 608/3725MB (cached 4MB) CPU [27%@1421,27%@1036,24%@1036,27%@1036,21%@729,10%@729] EMC_FREQ 26%@2133 GR3D_FREQ 97%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57.25C SOC2@56.125C SOC0@55.656C CV1@-256C GPU@57.093C tj@57.25C SOC1@55.875C CV2@-256C VDD_IN 7747mW/7598mW VDD_CPU_GPU_CV 2591mW/2740mW VDD_SOC 1876mW/1776mW
05-31-2024 13:09:20 RAM 4205/7451MB (lfb 62x1MB) SWAP 608/3725MB (cached 4MB) CPU [26%@1267,25%@1312,24%@1267,21%@1267,8%@729,7%@729] EMC_FREQ 26%@2133 GR3D_FREQ 36%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57.093C SOC2@56.062C SOC0@55.687C CV1@-256C GPU@56.75C tj@57.093C SOC1@55.812C CV2@-256C VDD_IN 7627mW/7599mW VDD_CPU_GPU_CV 2551mW/2735mW VDD_SOC 1876mW/1779mW
05-31-2024 13:09:21 RAM 4205/7451MB (lfb 62x1MB) SWAP 608/3725MB (cached 4MB) CPU [25%@1049,24%@1076,26%@960,16%@960,15%@729,13%@729] EMC_FREQ 25%@2133 GR3D_FREQ 99%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57.156C SOC2@55.968C SOC0@55.531C CV1@-256C GPU@57.031C tj@57.156C SOC1@55.781C CV2@-256C VDD_IN 7587mW/7598mW VDD_CPU_GPU_CV 2472mW/2728mW VDD_SOC 1876mW/1782mW
05-31-2024 13:09:22 RAM 4205/7451MB (lfb 62x1MB) SWAP 608/3725MB (cached 4MB) CPU [29%@729,22%@729,20%@729,25%@729,18%@1113,16%@1113] EMC_FREQ 25%@2133 GR3D_FREQ 71%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57.125C SOC2@55.937C SOC0@55.656C CV1@-256C GPU@56.656C tj@57.125C SOC1@55.687C CV2@-256C VDD_IN 7587mW/7598mW VDD_CPU_GPU_CV 2472mW/2722mW VDD_SOC 1876mW/1784mW
05-31-2024 13:09:23 RAM 4205/7451MB (lfb 62x1MB) SWAP 608/3725MB (cached 4MB) CPU [26%@1510,25%@1510,20%@1324,17%@1510,25%@729,27%@729] EMC_FREQ 25%@2133 GR3D_FREQ 16%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57.218C SOC2@55.968C SOC0@55.593C CV1@-256C GPU@56.843C tj@57.218C SOC1@55.75C CV2@-256C VDD_IN 7667mW/7600mW VDD_CPU_GPU_CV 2551mW/2717mW VDD_SOC 1876mW/1786mW
05-31-2024 13:09:24 RAM 4201/7451MB (lfb 1x2MB) SWAP 608/3725MB (cached 4MB) CPU [30%@1190,15%@1510,23%@1510,28%@1510,21%@729,13%@729] EMC_FREQ 26%@2133 GR3D_FREQ 60%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57C SOC2@55.968C SOC0@55.562C CV1@-256C GPU@56.687C tj@57C SOC1@55.812C CV2@-256C VDD_IN 7707mW/7602mW VDD_CPU_GPU_CV 2591mW/2714mW VDD_SOC 1876mW/1788mW
