05-28-2024 14:09:14 RAM 4405/7451MB (lfb 160x4MB) SWAP 0/3725MB (cached 0MB) CPU [40%@960,31%@960,31%@960,23%@960,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 98%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.593C SOC2@52C SOC0@51.781C CV1@-256C GPU@52.812C tj@53.593C SOC1@52.375C CV2@-256C VDD_IN 6249mW/5664mW VDD_CPU_GPU_CV 1520mW/1374mW VDD_SOC 1762mW/1569mW
05-28-2024 14:09:15 RAM 4405/7451MB (lfb 160x4MB) SWAP 0/3725MB (cached 0MB) CPU [39%@960,33%@960,25%@960,27%@960,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 15%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.406C SOC2@52C SOC0@51.812C CV1@-256C GPU@52.75C tj@53.406C SOC1@52.343C CV2@-256C VDD_IN 6249mW/5680mW VDD_CPU_GPU_CV 1520mW/1378mW VDD_SOC 1762mW/1574mW
05-28-2024 14:09:16 RAM 4405/7451MB (lfb 160x4MB) SWAP 0/3725MB (cached 0MB) CPU [41%@729,30%@729,24%@729,24%@729,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 68%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.406C SOC2@52.093C SOC0@51.906C CV1@-256C GPU@52.781C tj@53.406C SOC1@52.406C CV2@-256C VDD_IN 6290mW/5696mW VDD_CPU_GPU_CV 1560mW/1383mW VDD_SOC 1762mW/1579mW
05-28-2024 14:09:17 RAM 4405/7451MB (lfb 160x4MB) SWAP 0/3725MB (cached 0MB) CPU [45%@729,28%@729,29%@729,34%@729,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 99%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.343C SOC2@52C SOC0@51.812C CV1@-256C GPU@52.593C tj@53.343C SOC1@52.343C CV2@-256C VDD_IN 6290mW/5712mW VDD_CPU_GPU_CV 1560mW/1388mW VDD_SOC 1762mW/1584mW
05-28-2024 14:09:18 RAM 4405/7451MB (lfb 160x4MB) SWAP 0/3725MB (cached 0MB) CPU [35%@867,30%@729,32%@729,25%@729,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 98%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.406C SOC2@52.125C SOC0@51.781C CV1@-256C GPU@52.5C tj@53.406C SOC1@52.5C CV2@-256C VDD_IN 6290mW/5727mW VDD_CPU_GPU_CV 1560mW/1392mW VDD_SOC 1762mW/1589mW
05-28-2024 14:09:19 RAM 4405/7451MB (lfb 160x4MB) SWAP 0/3725MB (cached 0MB) CPU [36%@729,29%@729,28%@806,30%@806,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 72%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.406C SOC2@52.031C SOC0@51.843C CV1@-256C GPU@52.593C tj@53.406C SOC1@52.593C CV2@-256C VDD_IN 6249mW/5740mW VDD_CPU_GPU_CV 1520mW/1395mW VDD_SOC 1762mW/1593mW
05-28-2024 14:09:20 RAM 4405/7451MB (lfb 160x4MB) SWAP 0/3725MB (cached 0MB) CPU [37%@883,25%@883,32%@883,27%@883,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 68%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.406C SOC2@52.093C SOC0@51.843C CV1@-256C GPU@52.562C tj@53.406C SOC1@52.5C CV2@-256C VDD_IN 6290mW/5753mW VDD_CPU_GPU_CV 1560mW/1399mW VDD_SOC 1762mW/1597mW
05-28-2024 14:09:21 RAM 4405/7451MB (lfb 160x4MB) SWAP 0/3725MB (cached 0MB) CPU [42%@729,30%@729,30%@729,22%@729,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 99%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.531C SOC2@52C SOC0@51.906C CV1@-256C GPU@52.562C tj@53.531C SOC1@52.5C CV2@-256C VDD_IN 6249mW/5765mW VDD_CPU_GPU_CV 1520mW/1402mW VDD_SOC 1762mW/1601mW
05-28-2024 14:09:22 RAM 4405/7451MB (lfb 160x4MB) SWAP 0/3725MB (cached 0MB) CPU [46%@960,28%@960,30%@960,32%@960,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 64%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.437C SOC2@52.062C SOC0@51.968C CV1@-256C GPU@52.687C tj@53.437C SOC1@52.5C CV2@-256C VDD_IN 6249mW/5776mW VDD_CPU_GPU_CV 1520mW/1405mW VDD_SOC 1762mW/1605mW
05-28-2024 14:09:23 RAM 4405/7451MB (lfb 160x4MB) SWAP 0/3725MB (cached 0MB) CPU [39%@960,33%@960,24%@960,38%@883,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 63%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.406C SOC2@52.156C SOC0@51.875C CV1@-256C GPU@52.625C tj@53.531C SOC1@52.375C CV2@-256C VDD_IN 6330mW/5789mW VDD_CPU_GPU_CV 1560mW/1408mW VDD_SOC 1762mW/1608mW
05-28-2024 14:09:24 RAM 4405/7451MB (lfb 160x4MB) SWAP 0/3725MB (cached 0MB) CPU [41%@729,30%@729,31%@729,27%@729,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 99%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.437C SOC2@52.093C SOC0@51.937C CV1@-256C GPU@52.531C tj@53.437C SOC1@52.437C CV2@-256C VDD_IN 6249mW/5799mW VDD_CPU_GPU_CV 1560mW/1412mW VDD_SOC 1762mW/1612mW
05-28-2024 14:09:25 RAM 4405/7451MB (lfb 160x4MB) SWAP 0/3725MB (cached 0MB) CPU [34%@729,29%@729,28%@729,31%@729,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 98%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.5C SOC2@52.187C SOC0@51.843C CV1@-256C GPU@52.531C tj@53.5C SOC1@52.625C CV2@-256C VDD_IN 6249mW/5809mW VDD_CPU_GPU_CV 1520mW/1414mW VDD_SOC 1762mW/1615mW
05-28-2024 14:09:26 RAM 4405/7451MB (lfb 160x4MB) SWAP 0/3725MB (cached 0MB) CPU [40%@960,29%@960,32%@960,34%@960,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 51%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.437C SOC2@52.125C SOC0@51.968C CV1@-256C GPU@52.906C tj@53.437C SOC1@52.531C CV2@-256C VDD_IN 6249mW/5818mW VDD_CPU_GPU_CV 1520mW/1416mW VDD_SOC 1762mW/1618mW
05-28-2024 14:09:27 RAM 4405/7451MB (lfb 160x4MB) SWAP 0/3725MB (cached 0MB) CPU [41%@960,29%@729,28%@729,32%@729,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 99%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.687C SOC2@52.062C SOC0@51.968C CV1@-256C GPU@52.687C tj@53.687C SOC1@52.406C CV2@-256C VDD_IN 6249mW/5827mW VDD_CPU_GPU_CV 1520mW/1418mW VDD_SOC 1762mW/1621mW
05-28-2024 14:09:28 RAM 4405/7451MB (lfb 160x4MB) SWAP 0/3725MB (cached 0MB) CPU [36%@806,33%@960,30%@960,28%@960,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 46%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.531C SOC2@52.062C SOC0@51.937C CV1@-256C GPU@52.812C tj@53.531C SOC1@52.406C CV2@-256C VDD_IN 6249mW/5836mW VDD_CPU_GPU_CV 1520mW/1421mW VDD_SOC 1762mW/1624mW
05-28-2024 14:09:29 RAM 4405/7451MB (lfb 160x4MB) SWAP 0/3725MB (cached 0MB) CPU [37%@960,37%@729,29%@729,31%@729,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 99%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.375C SOC2@52.187C SOC0@51.906C CV1@-256C GPU@52.937C tj@53.375C SOC1@52.468C CV2@-256C VDD_IN 6290mW/5845mW VDD_CPU_GPU_CV 1560mW/1423mW VDD_SOC 1762mW/1627mW
05-28-2024 14:09:30 RAM 4404/7451MB (lfb 160x4MB) SWAP 0/3725MB (cached 0MB) CPU [39%@729,28%@729,28%@729,27%@729,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 97%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.531C SOC2@52.218C SOC0@51.906C CV1@-256C GPU@52.656C tj@53.531C SOC1@52.406C CV2@-256C VDD_IN 6249mW/5853mW VDD_CPU_GPU_CV 1520mW/1425mW VDD_SOC 1762mW/1629mW
05-28-2024 14:09:31 RAM 4404/7451MB (lfb 160x4MB) SWAP 0/3725MB (cached 0MB) CPU [37%@729,31%@729,26%@729,27%@729,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 98%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.531C SOC2@52.156C SOC0@51.968C CV1@-256C GPU@52.625C tj@53.531C SOC1@52.625C CV2@-256C VDD_IN 6249mW/5860mW VDD_CPU_GPU_CV 1560mW/1428mW VDD_SOC 1762mW/1632mW
05-28-2024 14:09:32 RAM 4404/7451MB (lfb 160x4MB) SWAP 0/3725MB (cached 0MB) CPU [40%@960,31%@960,34%@960,26%@960,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 31%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.468C SOC2@52.125C SOC0@51.937C CV1@-256C GPU@52.843C tj@53.468C SOC1@52.656C CV2@-256C VDD_IN 6209mW/5867mW VDD_CPU_GPU_CV 1520mW/1429mW VDD_SOC 1762mW/1634mW
