01-01-1970 01:30:32 RAM 5494/7451MB (lfb 4x4MB) SWAP 4/3725MB (cached 0MB) CPU [21%@729,17%@1510,13%@1510,14%@1510,18%@729,19%@729] EMC_FREQ 24%@2133 GR3D_FREQ 38%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.375C SOC2@51.687C SOC0@51.25C CV1@-256C GPU@52.687C tj@53.156C SOC1@51.843C CV2@-256C VDD_IN 7480mW/5992mW VDD_CPU_GPU_CV 2476mW/1966mW VDD_SOC 1920mW/1431mW
01-01-1970 01:30:33 RAM 5491/7451MB (lfb 4x4MB) SWAP 4/3725MB (cached 0MB) CPU [19%@957,16%@729,10%@729,14%@729,14%@729,22%@729] EMC_FREQ 24%@2133 GR3D_FREQ 28%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.031C SOC2@51.593C SOC0@51.312C CV1@-256C GPU@52.75C tj@53.031C SOC1@51.843C CV2@-256C VDD_IN 7640mW/6040mW VDD_CPU_GPU_CV 2555mW/1983mW VDD_SOC 1960mW/1447mW
01-01-1970 01:30:34 RAM 5493/7451MB (lfb 4x4MB) SWAP 4/3725MB (cached 0MB) CPU [22%@729,13%@729,16%@729,17%@729,18%@729,15%@729] EMC_FREQ 24%@2133 GR3D_FREQ 97%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.406C SOC2@51.562C SOC0@51.281C CV1@-256C GPU@52.812C tj@53.406C SOC1@51.968C CV2@-256C VDD_IN 7560mW/6084mW VDD_CPU_GPU_CV 2515mW/1998mW VDD_SOC 1920mW/1460mW
01-01-1970 01:30:35 RAM 5494/7451MB (lfb 4x4MB) SWAP 4/3725MB (cached 0MB) CPU [34%@1205,21%@960,20%@960,27%@960,12%@729,13%@729] EMC_FREQ 25%@2133 GR3D_FREQ 55%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.25C SOC2@51.781C SOC0@51.25C CV1@-256C GPU@53.062C tj@53.25C SOC1@51.937C CV2@-256C VDD_IN 7920mW/6135mW VDD_CPU_GPU_CV 2755mW/2019mW VDD_SOC 1960mW/1474mW
01-01-1970 01:30:36 RAM 5494/7451MB (lfb 4x4MB) SWAP 4/3725MB (cached 0MB) CPU [33%@1249,17%@1036,15%@1036,12%@1036,10%@729,11%@729] EMC_FREQ 25%@2133 GR3D_FREQ 46%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.375C SOC2@51.687C SOC0@51.312C CV1@-256C GPU@52.593C tj@53.375C SOC1@51.937C CV2@-256C VDD_IN 7520mW/6172mW VDD_CPU_GPU_CV 2476mW/2031mW VDD_SOC 1920mW/1486mW
01-01-1970 01:30:37 RAM 5494/7451MB (lfb 4x4MB) SWAP 4/3725MB (cached 0MB) CPU [20%@729,14%@729,14%@729,14%@729,18%@729,19%@729] EMC_FREQ 24%@2133 GR3D_FREQ 97%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.312C SOC2@51.718C SOC0@51.312C CV1@-256C GPU@52.718C tj@53.312C SOC1@51.906C CV2@-256C VDD_IN 7520mW/6208mW VDD_CPU_GPU_CV 2476mW/2043mW VDD_SOC 1920mW/1498mW
01-01-1970 01:30:38 RAM 5494/7451MB (lfb 4x4MB) SWAP 4/3725MB (cached 0MB) CPU [23%@806,13%@806,13%@806,16%@806,17%@729,16%@729] EMC_FREQ 24%@2133 GR3D_FREQ 30%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.406C SOC2@51.656C SOC0@51.281C CV1@-256C GPU@52.531C tj@53.406C SOC1@51.937C CV2@-256C VDD_IN 7480mW/6240mW VDD_CPU_GPU_CV 2436mW/2053mW VDD_SOC 1920mW/1508mW
01-01-1970 01:30:39 RAM 5494/7451MB (lfb 4x4MB) SWAP 4/3725MB (cached 0MB) CPU [27%@729,19%@729,18%@729,21%@729,6%@729,8%@729] EMC_FREQ 24%@2133 GR3D_FREQ 34%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.312C SOC2@51.687C SOC0@51.312C CV1@-256C GPU@52.718C tj@53.312C SOC1@51.906C CV2@-256C VDD_IN 7560mW/6273mW VDD_CPU_GPU_CV 2515mW/2065mW VDD_SOC 1960mW/1520mW
01-01-1970 01:30:40 RAM 5494/7451MB (lfb 4x4MB) SWAP 4/3725MB (cached 0MB) CPU [35%@989,13%@729,11%@729,28%@729,11%@729,10%@729] EMC_FREQ 24%@2133 GR3D_FREQ 40%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.343C SOC2@51.687C SOC0@51.312C CV1@-256C GPU@52.5C tj@53.343C SOC1@52.125C CV2@-256C VDD_IN 7480mW/6303mW VDD_CPU_GPU_CV 2436mW/2074mW VDD_SOC 1920mW/1529mW
01-01-1970 01:30:41 RAM 5494/7451MB (lfb 4x4MB) SWAP 4/3725MB (cached 0MB) CPU [26%@1510,16%@932,21%@1038,22%@1510,8%@729,8%@729] EMC_FREQ 24%@2133 GR3D_FREQ 73%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.312C SOC2@51.812C SOC0@51.343C CV1@-256C GPU@52.75C tj@53.312C SOC1@52.031C CV2@-256C VDD_IN 7640mW/6334mW VDD_CPU_GPU_CV 2555mW/2085mW VDD_SOC 1920mW/1539mW
01-01-1970 01:30:42 RAM 5494/7451MB (lfb 4x4MB) SWAP 4/3725MB (cached 0MB) CPU [29%@1247,21%@729,18%@729,19%@729,7%@729,4%@729] EMC_FREQ 24%@2133 GR3D_FREQ 99%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.218C SOC2@51.812C SOC0@51.343C CV1@-256C GPU@52.937C tj@53.218C SOC1@52.125C CV2@-256C VDD_IN 7520mW/6362mW VDD_CPU_GPU_CV 2476mW/2094mW VDD_SOC 1920mW/1548mW
01-01-1970 01:30:43 RAM 5494/7451MB (lfb 4x4MB) SWAP 4/3725MB (cached 0MB) CPU [31%@1510,18%@806,20%@806,18%@806,7%@729,9%@729] EMC_FREQ 24%@2133 GR3D_FREQ 37%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.343C SOC2@51.906C SOC0@51.343C CV1@-256C GPU@52.656C tj@53.343C SOC1@52.062C CV2@-256C VDD_IN 7440mW/6386mW VDD_CPU_GPU_CV 2436mW/2102mW VDD_SOC 1920mW/1556mW
01-01-1970 01:30:44 RAM 5494/7451MB (lfb 4x4MB) SWAP 4/3725MB (cached 0MB) CPU [26%@1506,16%@1037,18%@1497,16%@729,12%@729,7%@729] EMC_FREQ 24%@2133 GR3D_FREQ 26%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.25C SOC2@51.843C SOC0@51.531C CV1@-256C GPU@52.968C tj@53.25C SOC1@52.062C CV2@-256C VDD_IN 7480mW/6411mW VDD_CPU_GPU_CV 2476mW/2110mW VDD_SOC 1920mW/1564mW
01-01-1970 01:30:45 RAM 5494/7451MB (lfb 4x4MB) SWAP 4/3725MB (cached 0MB) CPU [22%@1510,13%@729,9%@729,18%@729,28%@729,17%@729] EMC_FREQ 24%@2133 GR3D_FREQ 96%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.156C SOC2@51.781C SOC0@51.531C CV1@-256C GPU@52.875C tj@53.156C SOC1@52.125C CV2@-256C VDD_IN 7560mW/6436mW VDD_CPU_GPU_CV 2476mW/2118mW VDD_SOC 1920mW/1572mW
01-01-1970 01:30:46 RAM 5494/7451MB (lfb 4x4MB) SWAP 4/3725MB (cached 0MB) CPU [19%@729,12%@1047,13%@729,12%@729,16%@729,23%@729] EMC_FREQ 24%@2133 GR3D_FREQ 56%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.343C SOC2@51.812C SOC0@51.5C CV1@-256C GPU@52.531C tj@53.343C SOC1@52.156C CV2@-256C VDD_IN 7520mW/6459mW VDD_CPU_GPU_CV 2476mW/2126mW VDD_SOC 1920mW/1579mW
01-01-1970 01:30:47 RAM 5494/7451MB (lfb 4x4MB) SWAP 4/3725MB (cached 0MB) CPU [24%@1509,12%@729,12%@729,15%@729,15%@729,23%@729] EMC_FREQ 25%@2133 GR3D_FREQ 91%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.187C SOC2@51.906C SOC0@51.5C CV1@-256C GPU@52.812C tj@53.187C SOC1@52.031C CV2@-256C VDD_IN 7560mW/6482mW VDD_CPU_GPU_CV 2515mW/2134mW VDD_SOC 1920mW/1586mW
01-01-1970 01:30:48 RAM 5494/7451MB (lfb 4x4MB) SWAP 4/3725MB (cached 0MB) CPU [19%@729,13%@729,13%@729,16%@729,17%@729,20%@729] EMC_FREQ 24%@2133 GR3D_FREQ 54%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.187C SOC2@51.812C SOC0@51.5C CV1@-256C GPU@52.75C tj@53.187C SOC1@52.062C CV2@-256C VDD_IN 7600mW/6505mW VDD_CPU_GPU_CV 2515mW/2142mW VDD_SOC 1960mW/1594mW
01-01-1970 01:30:49 RAM 5494/7451MB (lfb 4x4MB) SWAP 4/3725MB (cached 0MB) CPU [25%@1510,12%@883,12%@883,15%@883,23%@729,19%@729] EMC_FREQ 24%@2133 GR3D_FREQ 34%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.187C SOC2@51.843C SOC0@51.468C CV1@-256C GPU@52.843C tj@53.187C SOC1@52.093C CV2@-256C VDD_IN 7480mW/6524mW VDD_CPU_GPU_CV 2476mW/2148mW VDD_SOC 1920mW/1600mW
01-01-1970 01:30:50 RAM 5494/7451MB (lfb 4x4MB) SWAP 4/3725MB (cached 0MB) CPU [31%@1098,12%@729,14%@729,31%@729,9%@729,10%@729] EMC_FREQ 24%@2133 GR3D_FREQ 86%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.218C SOC2@51.781C SOC0@51.5C CV1@-256C GPU@52.687C tj@53.25C SOC1@52C CV2@-256C VDD_IN 7560mW/6544mW VDD_CPU_GPU_CV 2515mW/2156mW VDD_SOC 1920mW/1607mW
01-01-1970 01:30:51 RAM 5494/7451MB (lfb 4x4MB) SWAP 4/3725MB (cached 0MB) CPU [31%@806,17%@806,16%@806,16%@806,20%@729,11%@729] EMC_FREQ 24%@2133 GR3D_FREQ 96%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.218C SOC2@51.843C SOC0@51.375C CV1@-256C GPU@52.812C tj@53.218C SOC1@52.031C CV2@-256C VDD_IN 7560mW/6564mW VDD_CPU_GPU_CV 2476mW/2162mW VDD_SOC 1920mW/1613mW
