01-01-1970 01:21:28 RAM 4963/7451MB (lfb 1x2MB) SWAP 394/3725MB (cached 1MB) CPU [35%@1510,19%@1510,20%@1510,17%@1510,16%@729,23%@729] EMC_FREQ 19%@2133 GR3D_FREQ 75%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.656C SOC2@49.812C SOC0@49.468C CV1@-256C GPU@50.437C tj@51.656C SOC1@50.437C CV2@-256C VDD_IN 6840mW/5427mW VDD_CPU_GPU_CV 2076mW/1663mW VDD_SOC 1840mW/1313mW
01-01-1970 01:21:30 RAM 4963/7451MB (lfb 1x2MB) SWAP 394/3725MB (cached 1MB) CPU [32%@1302,20%@883,30%@883,21%@883,32%@729,27%@729] EMC_FREQ 19%@2133 GR3D_FREQ 68%@[623,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.75C SOC2@49.968C SOC0@49.531C CV1@-256C GPU@50.718C tj@51.75C SOC1@50.375C CV2@-256C VDD_IN 7000mW/5475mW VDD_CPU_GPU_CV 2156mW/1678mW VDD_SOC 1840mW/1329mW
01-01-1970 01:21:31 RAM 4965/7451MB (lfb 1x2MB) SWAP 394/3725MB (cached 1MB) CPU [36%@806,23%@806,20%@806,20%@960,21%@1036,16%@883] EMC_FREQ 19%@2133 GR3D_FREQ 72%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.625C SOC2@49.937C SOC0@49.562C CV1@-256C GPU@50.718C tj@51.625C SOC1@50.375C CV2@-256C VDD_IN 6920mW/5517mW VDD_CPU_GPU_CV 2116mW/1691mW VDD_SOC 1800mW/1343mW
01-01-1970 01:21:32 RAM 4964/7451MB (lfb 1x2MB) SWAP 394/3725MB (cached 1MB) CPU [37%@1502,24%@1344,16%@1344,30%@1344,10%@729,9%@729] EMC_FREQ 19%@2133 GR3D_FREQ 49%@[623,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.812C SOC2@50.031C SOC0@49.562C CV1@-256C GPU@50.718C tj@51.812C SOC1@50.406C CV2@-256C VDD_IN 7000mW/5559mW VDD_CPU_GPU_CV 2156mW/1704mW VDD_SOC 1840mW/1357mW
01-01-1970 01:21:33 RAM 4964/7451MB (lfb 1x2MB) SWAP 394/3725MB (cached 1MB) CPU [41%@1036,25%@1036,20%@1497,22%@1497,11%@729,19%@729] EMC_FREQ 19%@2133 GR3D_FREQ 44%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.718C SOC2@50.062C SOC0@49.593C CV1@-256C GPU@50.875C tj@51.718C SOC1@50.468C CV2@-256C VDD_IN 6880mW/5596mW VDD_CPU_GPU_CV 2120mW/1716mW VDD_SOC 1800mW/1370mW
01-01-1970 01:21:34 RAM 4964/7451MB (lfb 1x2MB) SWAP 394/3725MB (cached 1MB) CPU [30%@729,14%@729,11%@729,14%@729,30%@729,37%@729] EMC_FREQ 19%@2133 GR3D_FREQ 68%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.687C SOC2@49.968C SOC0@49.593C CV1@-256C GPU@50.531C tj@51.687C SOC1@50.531C CV2@-256C VDD_IN 6730mW/5627mW VDD_CPU_GPU_CV 2000mW/1724mW VDD_SOC 1802mW/1381mW
01-01-1970 01:21:35 RAM 4964/7451MB (lfb 1x2MB) SWAP 394/3725MB (cached 1MB) CPU [35%@729,11%@729,12%@729,12%@1137,29%@729,33%@729] EMC_FREQ 18%@2133 GR3D_FREQ 72%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.75C SOC2@50.031C SOC0@49.718C CV1@-256C GPU@50.625C tj@51.75C SOC1@50.468C CV2@-256C VDD_IN 6610mW/5653mW VDD_CPU_GPU_CV 1960mW/1730mW VDD_SOC 1762mW/1391mW
01-01-1970 01:21:36 RAM 4964/7451MB (lfb 1x2MB) SWAP 394/3725MB (cached 1MB) CPU [34%@1510,19%@960,15%@960,16%@960,25%@729,29%@729] EMC_FREQ 18%@2133 GR3D_FREQ 28%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.875C SOC2@50.093C SOC0@49.656C CV1@-256C GPU@50.812C tj@51.875C SOC1@50.5C CV2@-256C VDD_IN 6690mW/5679mW VDD_CPU_GPU_CV 2000mW/1737mW VDD_SOC 1802mW/1402mW
01-01-1970 01:21:37 RAM 4964/7451MB (lfb 1x2MB) SWAP 394/3725MB (cached 1MB) CPU [33%@1510,16%@729,20%@729,16%@729,23%@960,23%@806] EMC_FREQ 18%@2133 GR3D_FREQ 84%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.843C SOC2@50.093C SOC0@49.687C CV1@-256C GPU@50.718C tj@51.843C SOC1@50.562C CV2@-256C VDD_IN 6770mW/5706mW VDD_CPU_GPU_CV 2040mW/1744mW VDD_SOC 1800mW/1412mW
01-01-1970 01:21:38 RAM 4964/7451MB (lfb 1x2MB) SWAP 394/3725MB (cached 1MB) CPU [31%@1510,29%@1510,13%@1510,15%@1510,30%@1113,30%@1113] EMC_FREQ 18%@2133 GR3D_FREQ 70%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.781C SOC2@50.156C SOC0@49.718C CV1@-256C GPU@50.937C tj@52C SOC1@50.562C CV2@-256C VDD_IN 6840mW/5734mW VDD_CPU_GPU_CV 2076mW/1752mW VDD_SOC 1800mW/1421mW
01-01-1970 01:21:39 RAM 4964/7451MB (lfb 1x2MB) SWAP 394/3725MB (cached 1MB) CPU [34%@729,15%@729,17%@729,17%@729,31%@729,20%@729] EMC_FREQ 18%@2133 GR3D_FREQ 29%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.781C SOC2@50.156C SOC0@49.718C CV1@-256C GPU@50.718C tj@51.781C SOC1@50.593C CV2@-256C VDD_IN 6770mW/5759mW VDD_CPU_GPU_CV 2000mW/1758mW VDD_SOC 1802mW/1430mW
01-01-1970 01:21:40 RAM 4964/7451MB (lfb 1x2MB) SWAP 394/3725MB (cached 1MB) CPU [30%@1510,32%@960,16%@960,20%@960,16%@806,22%@806] EMC_FREQ 19%@2133 GR3D_FREQ 46%@[623,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.968C SOC2@50.187C SOC0@49.75C CV1@-256C GPU@50.906C tj@51.968C SOC1@50.687C CV2@-256C VDD_IN 6960mW/5787mW VDD_CPU_GPU_CV 2116mW/1767mW VDD_SOC 1800mW/1439mW
01-01-1970 01:21:41 RAM 4964/7451MB (lfb 1x2MB) SWAP 394/3725MB (cached 1MB) CPU [31%@729,19%@729,13%@729,17%@729,22%@729,24%@842] EMC_FREQ 19%@2133 GR3D_FREQ 93%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.968C SOC2@50.125C SOC0@49.843C CV1@-256C GPU@50.843C tj@51.968C SOC1@50.656C CV2@-256C VDD_IN 6800mW/5810mW VDD_CPU_GPU_CV 2036mW/1773mW VDD_SOC 1800mW/1447mW
01-01-1970 01:21:42 RAM 4964/7451MB (lfb 1x2MB) SWAP 394/3725MB (cached 1MB) CPU [30%@1510,19%@1267,14%@1267,20%@1266,25%@729,20%@729] EMC_FREQ 19%@2133 GR3D_FREQ 54%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52C SOC2@50.187C SOC0@49.875C CV1@-256C GPU@51.093C tj@52C SOC1@50.687C CV2@-256C VDD_IN 6800mW/5832mW VDD_CPU_GPU_CV 2080mW/1780mW VDD_SOC 1800mW/1455mW
