01-01-1970 01:47:21 RAM 5103/7451MB (lfb 2x2MB) SWAP 385/3725MB (cached 1MB) CPU [36%@729,14%@729,16%@729,17%@1039,18%@729,8%@729] EMC_FREQ 25%@2133 GR3D_FREQ 99%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.906C SOC2@50.031C SOC0@49.718C CV1@-256C GPU@51.375C tj@51.906C SOC1@50.5C CV2@-256C VDD_IN 8226mW/6501mW VDD_CPU_GPU_CV 3030mW/2295mW VDD_SOC 1956mW/1538mW
01-01-1970 01:47:22 RAM 5103/7451MB (lfb 2x2MB) SWAP 385/3725MB (cached 1MB) CPU [34%@729,16%@729,9%@729,15%@729,14%@830,23%@729] EMC_FREQ 25%@2133 GR3D_FREQ 79%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.75C SOC2@50.062C SOC0@49.562C CV1@-256C GPU@50.718C tj@51.75C SOC1@50.375C CV2@-256C VDD_IN 7827mW/6541mW VDD_CPU_GPU_CV 2791mW/2310mW VDD_SOC 1916mW/1550mW
01-01-1970 01:47:23 RAM 5103/7451MB (lfb 2x2MB) SWAP 385/3725MB (cached 1MB) CPU [34%@1190,16%@960,14%@960,15%@960,13%@729,13%@729] EMC_FREQ 25%@2133 GR3D_FREQ 42%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.687C SOC2@50.187C SOC0@49.718C CV1@-256C GPU@51C tj@51.687C SOC1@50.593C CV2@-256C VDD_IN 7987mW/6584mW VDD_CPU_GPU_CV 2910mW/2328mW VDD_SOC 1916mW/1560mW
01-01-1970 01:47:24 RAM 5103/7451MB (lfb 2x2MB) SWAP 385/3725MB (cached 1MB) CPU [30%@1036,13%@1363,12%@1036,14%@1036,20%@1510,22%@1510] EMC_FREQ 24%@2133 GR3D_FREQ 66%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.875C SOC2@50.218C SOC0@49.718C CV1@-256C GPU@51C tj@51.875C SOC1@50.406C CV2@-256C VDD_IN 7827mW/6619mW VDD_CPU_GPU_CV 2751mW/2340mW VDD_SOC 1916mW/1570mW
01-01-1970 01:47:25 RAM 5103/7451MB (lfb 2x2MB) SWAP 385/3725MB (cached 1MB) CPU [30%@1510,15%@806,15%@806,14%@806,16%@729,20%@729] EMC_FREQ 24%@2133 GR3D_FREQ 96%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.937C SOC2@50.218C SOC0@49.718C CV1@-256C GPU@51.656C tj@51.937C SOC1@50.531C CV2@-256C VDD_IN 7907mW/6655mW VDD_CPU_GPU_CV 2870mW/2355mW VDD_SOC 1916mW/1580mW
01-01-1970 01:47:26 RAM 5103/7451MB (lfb 2x2MB) SWAP 385/3725MB (cached 1MB) CPU [38%@1099,20%@883,14%@883,20%@883,16%@729,13%@729] EMC_FREQ 25%@2133 GR3D_FREQ 24%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.968C SOC2@50.218C SOC0@49.843C CV1@-256C GPU@51.187C tj@51.968C SOC1@50.656C CV2@-256C VDD_IN 8027mW/6692mW VDD_CPU_GPU_CV 2910mW/2370mW VDD_SOC 1956mW/1590mW
01-01-1970 01:47:27 RAM 5103/7451MB (lfb 2x2MB) SWAP 385/3725MB (cached 1MB) CPU [34%@1506,15%@806,12%@806,12%@806,14%@729,19%@729] EMC_FREQ 24%@2133 GR3D_FREQ 21%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.968C SOC2@50.25C SOC0@49.781C CV1@-256C GPU@51.156C tj@52.093C SOC1@50.656C CV2@-256C VDD_IN 7827mW/6722mW VDD_CPU_GPU_CV 2791mW/2381mW VDD_SOC 1916mW/1599mW
01-01-1970 01:47:28 RAM 5103/7451MB (lfb 2x2MB) SWAP 385/3725MB (cached 1MB) CPU [26%@1510,13%@729,10%@729,11%@729,25%@729,21%@729] EMC_FREQ 25%@2133 GR3D_FREQ 59%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.031C SOC2@50.343C SOC0@49.875C CV1@-256C GPU@51.406C tj@52.031C SOC1@50.656C CV2@-256C VDD_IN 7987mW/6754mW VDD_CPU_GPU_CV 2910mW/2394mW VDD_SOC 1956mW/1608mW
01-01-1970 01:47:29 RAM 5103/7451MB (lfb 2x2MB) SWAP 385/3725MB (cached 1MB) CPU [27%@1510,14%@1510,8%@806,11%@806,17%@1036,28%@1036] EMC_FREQ 24%@2133 GR3D_FREQ 24%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.031C SOC2@50.375C SOC0@49.937C CV1@-256C GPU@51.218C tj@52.031C SOC1@50.656C CV2@-256C VDD_IN 7867mW/6782mW VDD_CPU_GPU_CV 2791mW/2404mW VDD_SOC 1916mW/1616mW
01-01-1970 01:47:31 RAM 5103/7451MB (lfb 2x2MB) SWAP 385/3725MB (cached 1MB) CPU [29%@729,12%@729,18%@729,20%@1044,17%@729,21%@729] EMC_FREQ 25%@2133 GR3D_FREQ 92%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.937C SOC2@50.5C SOC0@50C CV1@-256C GPU@51.687C tj@52.156C SOC1@50.687C CV2@-256C VDD_IN 8107mW/6814mW VDD_CPU_GPU_CV 2950mW/2418mW VDD_SOC 1956mW/1624mW
01-01-1970 01:47:32 RAM 5103/7451MB (lfb 2x2MB) SWAP 385/3725MB (cached 1MB) CPU [33%@729,17%@729,18%@729,15%@729,19%@729,15%@729] EMC_FREQ 25%@2133 GR3D_FREQ 99%@[623,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.187C SOC2@50.562C SOC0@50.062C CV1@-256C GPU@51.625C tj@52.343C SOC1@50.781C CV2@-256C VDD_IN 8266mW/6849mW VDD_CPU_GPU_CV 3030mW/2432mW VDD_SOC 1996mW/1633mW
01-01-1970 01:47:33 RAM 5103/7451MB (lfb 2x2MB) SWAP 385/3725MB (cached 1MB) CPU [32%@1510,13%@944,11%@729,12%@729,15%@729,16%@729] EMC_FREQ 25%@2133 GR3D_FREQ 49%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.125C SOC2@50.562C SOC0@50.125C CV1@-256C GPU@51.562C tj@52.125C SOC1@51C CV2@-256C VDD_IN 7947mW/6874mW VDD_CPU_GPU_CV 2830mW/2441mW VDD_SOC 1916mW/1639mW
01-01-1970 01:47:34 RAM 5103/7451MB (lfb 2x2MB) SWAP 385/3725MB (cached 1MB) CPU [29%@729,11%@729,13%@1501,14%@729,21%@729,21%@729] EMC_FREQ 24%@2133 GR3D_FREQ 46%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.125C SOC2@50.593C SOC0@50.156C CV1@-256C GPU@51.843C tj@52.125C SOC1@50.812C CV2@-256C VDD_IN 8107mW/6902mW VDD_CPU_GPU_CV 2990mW/2454mW VDD_SOC 1956mW/1647mW
01-01-1970 01:47:35 RAM 5103/7451MB (lfb 2x2MB) SWAP 385/3725MB (cached 1MB) CPU [35%@729,19%@729,14%@991,11%@1510,18%@1510,27%@1510] EMC_FREQ 25%@2133 GR3D_FREQ 45%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.281C SOC2@50.718C SOC0@50.25C CV1@-256C GPU@52.156C tj@52.281C SOC1@51.031C CV2@-256C VDD_IN 8146mW/6930mW VDD_CPU_GPU_CV 2990mW/2466mW VDD_SOC 1956mW/1653mW
