05-28-2024 13:24:14 RAM 4303/7451MB (lfb 1x2MB) SWAP 711/3726MB (cached 7MB) CPU [30%@1420,21%@1420,20%@1510,33%@1510,16%@729,16%@729] EMC_FREQ 28%@2133 GR3D_FREQ 71%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.687C SOC2@54.375C SOC0@54.093C CV1@-256C GPU@55.531C tj@55.687C SOC1@54.187C CV2@-256C VDD_IN 8027mW/7579mW VDD_CPU_GPU_CV 2791mW/2789mW VDD_SOC 1916mW/1743mW
05-28-2024 13:24:15 RAM 4303/7451MB (lfb 1x2MB) SWAP 711/3726MB (cached 7MB) CPU [31%@729,22%@729,21%@729,21%@729,20%@1036,14%@1036] EMC_FREQ 28%@2133 GR3D_FREQ 31%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.593C SOC2@54.437C SOC0@54.062C CV1@-256C GPU@55.343C tj@55.593C SOC1@54.25C CV2@-256C VDD_IN 7947mW/7589mW VDD_CPU_GPU_CV 2711mW/2787mW VDD_SOC 1916mW/1748mW
05-28-2024 13:24:16 RAM 4304/7451MB (lfb 1x2MB) SWAP 711/3726MB (cached 7MB) CPU [34%@1301,19%@1510,16%@1510,14%@1510,29%@729,20%@729] EMC_FREQ 27%@2133 GR3D_FREQ 48%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.718C SOC2@54.468C SOC0@54.062C CV1@-256C GPU@55.593C tj@55.718C SOC1@54.25C CV2@-256C VDD_IN 7947mW/7599mW VDD_CPU_GPU_CV 2711mW/2785mW VDD_SOC 1916mW/1752mW
05-28-2024 13:24:17 RAM 4304/7451MB (lfb 1x2MB) SWAP 711/3726MB (cached 7MB) CPU [28%@1420,19%@1403,17%@1316,12%@1510,21%@729,24%@729] EMC_FREQ 27%@2133 GR3D_FREQ 98%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.593C SOC2@54.468C SOC0@54.156C CV1@-256C GPU@55.5C tj@55.593C SOC1@54.218C CV2@-256C VDD_IN 7987mW/7609mW VDD_CPU_GPU_CV 2751mW/2784mW VDD_SOC 1916mW/1757mW
05-28-2024 13:24:19 RAM 4304/7451MB (lfb 1x2MB) SWAP 711/3726MB (cached 7MB) CPU [28%@729,15%@729,23%@729,20%@729,14%@1113,26%@1113] EMC_FREQ 28%@2133 GR3D_FREQ 70%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.812C SOC2@54.531C SOC0@54.125C CV1@-256C GPU@55.593C tj@55.593C SOC1@54.406C CV2@-256C VDD_IN 8067mW/7622mW VDD_CPU_GPU_CV 2830mW/2785mW VDD_SOC 1956mW/1762mW
05-28-2024 13:24:20 RAM 4304/7451MB (lfb 1x2MB) SWAP 711/3726MB (cached 7MB) CPU [30%@729,17%@729,15%@729,15%@729,33%@1036,19%@1036] EMC_FREQ 28%@2133 GR3D_FREQ 69%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.562C SOC2@54.531C SOC0@54.156C CV1@-256C GPU@55.375C tj@55.562C SOC1@54.343C CV2@-256C VDD_IN 7987mW/7631mW VDD_CPU_GPU_CV 2751mW/2784mW VDD_SOC 1916mW/1766mW
05-28-2024 13:24:21 RAM 4304/7451MB (lfb 1x2MB) SWAP 711/3726MB (cached 7MB) CPU [35%@1420,20%@1420,19%@1344,16%@1344,18%@729,16%@729] EMC_FREQ 28%@2133 GR3D_FREQ 54%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.875C SOC2@54.593C SOC0@54.156C CV1@-256C GPU@55.562C tj@55.875C SOC1@54.281C CV2@-256C VDD_IN 8107mW/7643mW VDD_CPU_GPU_CV 2870mW/2786mW VDD_SOC 1956mW/1771mW
05-28-2024 13:24:22 RAM 4304/7451MB (lfb 1x2MB) SWAP 711/3726MB (cached 7MB) CPU [30%@1497,22%@1510,23%@1510,19%@1510,18%@729,16%@729] EMC_FREQ 28%@2133 GR3D_FREQ 86%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.812C SOC2@54.625C SOC0@54.218C CV1@-256C GPU@55.625C tj@55.812C SOC1@54.343C CV2@-256C VDD_IN 8027mW/7652mW VDD_CPU_GPU_CV 2830mW/2787mW VDD_SOC 1916mW/1774mW
05-28-2024 13:24:23 RAM 4304/7451MB (lfb 1x2MB) SWAP 711/3726MB (cached 7MB) CPU [33%@883,22%@883,16%@883,12%@729,23%@1267,19%@1267] EMC_FREQ 28%@2133 GR3D_FREQ 59%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.937C SOC2@54.625C SOC0@54.187C CV1@-256C GPU@55.718C tj@55.937C SOC1@54.343C CV2@-256C VDD_IN 7987mW/7660mW VDD_CPU_GPU_CV 2791mW/2787mW VDD_SOC 1916mW/1777mW
05-28-2024 13:24:24 RAM 4304/7451MB (lfb 1x2MB) SWAP 711/3726MB (cached 7MB) CPU [36%@1510,21%@1510,18%@806,16%@806,18%@729,24%@729] EMC_FREQ 28%@2133 GR3D_FREQ 98%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.718C SOC2@54.625C SOC0@54.156C CV1@-256C GPU@55.593C tj@55.718C SOC1@54.312C CV2@-256C VDD_IN 8107mW/7670mW VDD_CPU_GPU_CV 2830mW/2788mW VDD_SOC 1956mW/1782mW
